trip_id,customer_id,model,departure_date,ticket_price,distance_km,flight_duration_minutes,created_at,updated_at
1001,1,737-800,2024-01-15,120.00,1500,180,2024-01-01,2024-01-01
1002,2,A320neo,2024-01-16,95.50,1200,160,2024-01-02,2024-01-02
1003,3,E190-E2,2024-01-17,89.99,1000,140,2024-01-03,2024-01-03
1004,4,A380-800,2024-01-18,350.00,7500,520,2024-01-04,2024-01-04
1005,5,Falcon 7X,2024-01-19,900.00,6000,480,2024-01-05,2024-01-05
1006,6,787-9,2024-01-20,220.00,5500,430,2024-01-06,2024-01-06
1007,7,E175,2024-01-21,78.00,900,120,2024-01-07,2024-01-07
1008,8,G650,2024-01-22,1100.00,7300,500,2024-01-08,2024-01-08
1009,9,C919,2024-01-23,130.00,2500,220,2024-01-09,2024-01-09
1010,10,Q400,2024-01-24,65.00,800,100,2024-01-10,2024-01-10
1011,11,A350-900,2024-01-25,310.00,8100,550,2024-01-11,2024-01-11
1012,12,Citation X+,2024-01-26,700.00,3300,240,2024-01-12,2024-01-12
1013,13,Falcon 2000LXS,2024-01-27,850.00,3900,300,2024-01-13,2024-01-13
1014,14,CRJ900,2024-01-28,92.50,1500,180,2024-01-14,2024-01-14
1015,15,G550,2024-01-29,950.00,6700,510,2024-01-15,2024-01-15
1016,16,SpaceJet M90,2024-01-30,110.00,2000,160,2024-01-16,2024-01-16
1017,17,787-9,2024-01-31,225.00,5400,400,2024-01-17,2024-01-17
1018,18,E195-E2,2024-02-01,100.00,1500,150,2024-01-18,2024-01-18
1019,19,A320neo,2024-02-02,97.00,1100,145,2024-01-19,2024-01-19
1020,20,A350-900,2024-02-03,320.00,8100,550,2024-01-20,2024-01-20
